Language,FastText,Twitter
Afrikaans,af,NA
Albanian,sq,NA
Amharic,am,am
Arabic,ar,ar
Aragonese,an,NA
Armenian,hy,hy
Assamese,as,NA
Asturian,ast,NA
Avaric,av,NA
Azerbaijani,az,NA
Bashkir,ba,NA
Basque,eu,eu
Bavarian,bar,NA
Belarusian,be,NA
Bengali,bn,bn
Bihari,bh,NA
Bishnupriya,bpy,NA
Bosnian,bs,bs
Breton,br,NA
Bulgarian,bg,bg
Burmese,my,my
Catalan,ca,ca
Cebuano,ceb,NA
Cherokee,NA,chr
Central-Bikol,bcl,NA
Central-Kurdish,ckb,ckb
Chavacano,cbk,NA
Chechen,ce,NA
Chinese-Simplified,NA,zh-cn
Chinese-Traditional,NA,zh-tw
Chinese,zh,zh
Chuvash,cv,NA
Cornish,kw,NA
Corsican,co,NA
Croatian,hr,NA
Czech,cs,cs
Danish,da,da
Dimli,diq,NA
Divehi,dv,dv
Dotyali,dty,NA
Dutch,nl,nl
Eastern-Mari,mhr,NA
Egyptian-Arabic,arz,NA
Emiliano-Romagnolo,eml,NA
English,en,en
Erzya,myv,NA
Esperanto,eo,NA
Estonian,et,et
Fiji-Hindi,hif,NA
Filipino,NA,fil
Finnish,fi,fi
French,fr,fr
Frisian,fy,NA
Gaelic,gd,NA
Gallegan,gl,NA
Georgian,ka,ka
German,de,de
Goan-Konkani,gom,NA
Greek,el,el
Guarani,gn,NA
Gujarati,gu,gu
Haitian,ht,ht
Hebrew,he,he
Hindi,hi,hi
Hungarian,hu,hu
Icelandic,is,is
Ido,io,NA
Iloko,ilo,NA
Indonesian,id,in
Inuktitut,NA,iu
Interlingua,ia,NA
Interlingue,ie,NA
Irish,ga,NA
Italian,it,it
Japanese,ja,ja
Javanese,jv,NA
Kalmyk,xal,NA
Kannada,kn,kn
Karachay-Balkar,krc,NA
Kazakh,kk,NA
Khmer,km,km
Kirghiz,ky,NA
Komi,kv,NA
Korean,ko,ko
Kurdish,ku,NA
Lao,lo,lo
Latin,la,NA
Latvian,lv,lv
Lezghian,lez,NA
Limburgan,li,NA
Lithuanian,lt,lt
Lojban,jbo,NA
Lombard,lmo,NA
Lower-Sorbian,dsb,NA
Luxembourgish,lb,NA
Macedonian,mk,NA
Maithili,mai,NA
Malagasy,mg,NA
Malayalam,ml,ml
Malay,ms,msa
Maltese,mt,NA
Manx,gv,NA
Marathi,mr,mr
Mazanderani,mzn,NA
Minangkabau,min,NA
Mingrelian,xmf,NA
Mirandese,mwl,NA
Mongolian,mn,NA
Nahuatl,nah,NA
Neapolitan,nap,NA
Nepali,ne,ne
Newari,new,NA
Northen-Frisian,frr,NA
Northern-Luri,lrc,NA
Norwegian,no,no
Nynorsk,nn,NA
Occitan,oc,NA
Oriya,or,or
Ossetic,os,NA
Pampanga,pam,NA
Panjabi,pa,pa
Persian,fa,fa
Pfaelzisch,pfl,NA
Piemontese,pms,NA
Polish,pl,pl
Portuguese,pt,pt
Pushto,ps,ps
Quechua,qu,NA
Raeto-Romance,rm,NA
Romanian,ro,ro
Russian-Buriat,bxr,NA
Russian,ru,ru
Rusyn,rue,NA
Sanskrit,sa,NA
Sardinian,sc,NA
Saxon,nds,NA
Scots,sco,NA
Serbian,sr,sr
Serbo-Croatian,sh,NA
Sicilian,scn,NA
Sindhi,sd,sd
Sinhala,si,si
Slovak,sk,NA
Slovenian,sl,sl
Somali,so,NA
Shona,NA,sn
South-Azerbaijani,azb,NA
Spanish,es,es
Sundanese,su,NA
Swahili,sw,NA
Swedish,sv,sv
Tagalog,tl,tl
Tajik,tg,NA
Tamil,ta,ta
Tatar,tt,NA
Telugu,te,te
Thai,th,th
Tibetan,bo,bo
Tosk-Albanian,als,NA
Turkish,tr,tr
Turkmen,tk,NA
Tuvinian,tyv,NA
Uighur,ug,ug
Ukrainian,uk,uk
Upper-Sorbian,hsb,NA
Urdu,ur,ur
Uzbek,uz,NA
Venetian,vec,NA
Veps,vep,NA
Vietnamese,vi,vi
Vlaams,vls,NA
Volapük,vo,NA
Walloon,wa,NA
Waray,war,NA
Welsh,cy,cy
Western-Mari,mrj,NA
Western-Panjabi,pnb,NA
Wu-Chinese,wuu,NA
Yakut,sah,NA
Yiddish,yi,NA
Yoruba,yo,NA
Yue-Chinese,yue,NA
Unknown,NA,unknown
Undefined,und,und
